Exercise start,Exercise end,Code,Lecturer,Week,Concepts
2016-03-29 14:00:00 +0200,2016-02-16 15:40:00 +0100,10091,1,7,cvicenie
2016-04-05 14:00:00 +0200,2016-02-16 15:40:00 +0100,10092,1,8,cvicenie
2016-04-12 14:00:00 +0200,2016-02-16 15:40:00 +0100,10093,1,9,cvicenie
2016-04-19 14:00:00 +0200,2016-02-16 15:40:00 +0100,10094,1,10,cvicenie
2016-04-26 14:00:00 +0200,2016-02-16 15:40:00 +0100,10095,1,11,cvicenie
2016-05-03 14:00:00 +0200,2016-02-16 15:40:00 +0100,10096,1,12,cvicenie
2016-02-17 08:00:00 +0100,2016-02-17 09:40:00 +0100,10097,2,1,cvicenie
2016-02-24 08:00:00 +0100,2016-02-17 09:40:00 +0100,10098,2,2,cvicenie
2016-03-02 08:00:00 +0100,2016-02-17 09:40:00 +0100,10099,2,3,cvicenie
2016-03-09 08:00:00 +0100,2016-02-17 09:40:00 +0100,10100,2,4,cvicenie
2016-03-16 08:00:00 +0100,2016-02-17 09:40:00 +0100,10101,2,5,cvicenie
2016-03-23 08:00:00 +0100,2016-02-17 09:40:00 +0100,10102,2,6,cvicenie
2016-03-30 08:00:00 +0200,2016-02-17 09:40:00 +0100,10103,2,7,cvicenie
2016-04-06 08:00:00 +0200,2016-02-17 09:40:00 +0100,10104,2,8,cvicenie
2016-04-13 08:00:00 +0200,2016-02-17 09:40:00 +0100,10105,2,9,cvicenie
2016-04-20 08:00:00 +0200,2016-02-17 09:40:00 +0100,10106,2,10,cvicenie
2016-04-27 08:00:00 +0200,2016-02-17 09:40:00 +0100,10107,2,11,cvicenie
2016-05-04 08:00:00 +0200,2016-02-17 09:40:00 +0100,10108,2,12,cvicenie
2016-02-17 10:00:00 +0100,2016-02-17 11:40:00 +0100,10109,2,1,cvicenie
2016-02-24 10:00:00 +0100,2016-02-17 11:40:00 +0100,10110,2,2,cvicenie
2016-03-02 10:00:00 +0100,2016-02-17 11:40:00 +0100,10111,2,3,cvicenie
2016-03-09 10:00:00 +0100,2016-02-17 11:40:00 +0100,10112,2,4,cvicenie
2016-03-16 10:00:00 +0100,2016-02-17 11:40:00 +0100,10113,2,5,cvicenie
2016-03-23 10:00:00 +0100,2016-02-17 11:40:00 +0100,10114,2,6,cvicenie
2016-03-30 10:00:00 +0200,2016-02-17 11:40:00 +0100,10115,2,7,cvicenie
2016-04-06 10:00:00 +0200,2016-02-17 11:40:00 +0100,10116,2,8,cvicenie
2016-04-13 10:00:00 +0200,2016-02-17 11:40:00 +0100,10117,2,9,cvicenie
2016-04-20 10:00:00 +0200,2016-02-17 11:40:00 +0100,10118,2,10,cvicenie
2016-04-27 10:00:00 +0200,2016-02-17 11:40:00 +0100,10119,2,11,cvicenie
2016-05-04 10:00:00 +0200,2016-02-17 11:40:00 +0100,10120,2,12,cvicenie
2016-02-19 08:00:00 +0100,2016-02-19 09:40:00 +0100,10121,2,1,cvicenie
2016-02-26 08:00:00 +0100,2016-02-19 09:40:00 +0100,10122,2,2,cvicenie
2016-03-04 08:00:00 +0100,2016-02-19 09:40:00 +0100,10123,2,3,cvicenie
2016-03-11 08:00:00 +0100,2016-02-19 09:40:00 +0100,10124,2,4,cvicenie
2016-03-18 08:00:00 +0100,2016-02-19 09:40:00 +0100,10125,2,5,cvicenie
2016-03-25 08:00:00 +0100,2016-02-19 09:40:00 +0100,10126,2,6,cvicenie
2016-04-01 08:00:00 +0200,2016-02-19 09:40:00 +0100,10127,2,7,cvicenie
2016-04-08 08:00:00 +0200,2016-02-19 09:40:00 +0100,10128,2,8,cvicenie
2016-04-15 08:00:00 +0200,2016-02-19 09:40:00 +0100,10129,2,9,cvicenie
2016-04-22 08:00:00 +0200,2016-02-19 09:40:00 +0100,10130,2,10,cvicenie
2016-04-29 08:00:00 +0200,2016-02-19 09:40:00 +0100,10131,2,11,cvicenie
2016-05-06 08:00:00 +0200,2016-02-19 09:40:00 +0100,10132,2,12,cvicenie
2016-02-19 10:00:00 +0100,2016-02-19 11:40:00 +0100,10133,2,1,cvicenie
2016-02-26 10:00:00 +0100,2016-02-19 11:40:00 +0100,10134,2,2,cvicenie
2016-03-04 10:00:00 +0100,2016-02-19 11:40:00 +0100,10135,2,3,cvicenie
2016-03-11 10:00:00 +0100,2016-02-19 11:40:00 +0100,10136,2,4,cvicenie
